course,ISBN,title,author
AHIS-102,9780495573562,"Gardner's Art Through the Ages: The Western Perspective",Fred S. Kleiner
AHIS-103,9780131830639,A History of Far Eastern Art,Sherman E. Lee
AHIS-207,9780520255692,The Arts of China,Michael Sullivan
AHIS-223,9780131929708,"Snyder's Medieval Art","Henry Luttikhuizen, Dorothy Verkerk"
AHIS-282,978-0520052567,Theories of Modern Art: A Source Book by Artists and Critics,Herschel B. Chipp
AHIS-282,9780131895652,Modern Art,"Sam Hunter, Daniel Wheeler, John M. Jacobus"
AHIS-292,9780870703812,History of Photography: From 1839 to the Present,Beaumont Newhall
AMST-203,9780717803682,"The Rebel Girl: An Autobiography - My First Life,1906-1926",Elizabeth G. Flynn
AMST-203,9780743460606,Darkwater: The Givens Collection,W. E. B. Du Bois
AMST-203,9781478622048,Violence in the West: The Johnson County Range War and the Ludlow Massacre,Marilynn Johnson
AMST-203,9780989822404,A Shoeleather History of the Wobblies,Steve Thornton
AMST-285,9780143037200,The Unknown American Revolution: The Unruly Birth of Democracy and the Struggle to Create America,Gary B. Nash
AMST-285,9780674045958,The Civil War and the Limits of Destruction,Mark E. Neely Jr.
AMST-285,9781451662467,The King Years: Historic Moments in the Civil Rights Movement,Taylor Branch
AMST-285,9781595587084,"1877: America's Year of Living Violently",Michael Bellesiles
AMST-285,9780674284098,"Lincoln's Hundred Days: The Emancipation Proclamation and the War for the Union",Louis P. Masur
AMST-301,9780451529831,"Ragged Dick: Or,Street Life in New York with the Boot Blacks","Horatio Alger Jr., Michael Meyer"
AMST-301,9780486264738,Bartleby and Benito Cereno,Herman Melville
AMST-301,9780486270609,Young Goodman Brown and Other Short Stories,Nathaniel Hawthorne
AMST-301,9780486284958,"Walden; or,Life in the Woods",Henry David Thoreau
AMST-301,9780395927205,Interpreter of Maladies,Jhumpa Lahiri
AMST-301,9780199536559,Adventures of Huckleberry Finn,Mark Twain
AMST-301,9780199538034,"Uncle Tom's Cabin",Harriet Beecher Stowe
AMST-301,9780486780436,American Indian Stories and Old Indian Legends,Zitkala-Ša
AMST-336,9780801482922,"Race Against Empire: Black Americans and Anticolonialism,1937 1957",Penny M. Von Eschen
AMST-336,9780809016280,"Barbarian Virtues: The United States Encounters Foreign Peoples at Home and Abroad,1876-1917",Matthew Frye Jacobson
AMST-336,9780199283279,A Brief History of Neoliberalism,David Harvey
AMST-336,9781595583420,"The Darker Nations: A People's History of the Third World",Vijay Prashad
AMST-336,9781844678761,The Communist Manifesto: A Modern Edition,Friedrich Engels
AMST-336,9781781681442,The Age Of Globalization: Anarchists and the Anti-Colonial Imagination,Benedict Anderson
AMST-341,9781400032716,The Curious Incident of the Dog in the Night-Time,Mark Haddon
AMST-341,9781400033614,72 Hour Hold,Bebe Moore Campbell
AMST-341,9781416549017,Born On A Blue Day: Inside the Extraordinary Mind of an Autistic Savant,Daniel Tammet
AMST-341,9780307474841,Precious,Sapphire
AMST-341,9780307740915,Home,Toni Morrison
AMST-341,9780743236720,"Far From the Tree: Parents,Children and the Search for Identity",Andrew Solomon
AMST-341,9780762779253,I Am Intelligent: From Heartbreak to Healing,"Peyton Goddard, Dianne Goddard, Robert Friedman"
AMST-409,9780684863115,Visions of Technology: A Century of Vital Debate About Machines Systems and the Human World,Richard Rhodes
AMST-409,9780814719831,The Body Electric: How Strange Machines Built the Modern American,Carolyn Thomas de la Pena
AMST-409,9780820450070,Culture and Technology: A Primer,"Jennifer Daryl Slack, J. Macgregor Wise"
AMST-409,9780763662622,Feed,M.T. Anderson
AMST-421,9780801850967,"Silent Travelers: Germs,Genes,and the Immigrant Menace",Alan M. Kraut
AMST-421,9780807847985,Hazards of the Job: From Industrial Disease to Environmental Health Science,Christopher C. Sellers
AMST-421,9780465089871,The Health of the Country: How American Settlers Understood Themselves and Their Land,Conevery Bolton Valencius
AMST-421,9780520248878,"Inescapable Ecologies: A History of Environment,Disease,and Knowledge",Linda Nash
AMST-421,9780520251670,Orange Empire: California and the Fruits of Eden,Douglas Cazaux Sackman
AMST-428,9780674076273,Black Jacks: African American Seamen in the Age of Sail,W. Jeffrey Bolster
AMST-428,9780801484377,"Disowning Slavery: Gradual Emancipation and 'Race' in New England,1780 1860",Joanne Pope Melish
AMST-428,9781400079360,From Midnight to Dawn: The Last Tracks of the Underground Railroad,Jacqueline L. Tobin
AMST-428,9780691150352,Ten Hills Farm: The Forgotten History of Slavery in the North,C.S. Manegold
AMST-428,9780143123989,The Amistad Rebellion: An Atlantic Odyssey of Slavery and Freedom,Marcus Rediker
AMST-435,9780761991069,Exhibit Labels: An Interpretive Approach,Beverly Serrell
AMST-435,9781405173810,Museum Studies: An Anthology of Contexts,Bettina Messias Carbonell (Editor)
AMST-435,9780759122703,Manual of Museum Exhibitions,"Barry Lord, Maria Piacente (Editors)"
AMST-439,9780812218190,The Organization Man: The Book That Defined a Generation,William H. Whyte
AMST-439,9780195168921,"The American People in the Great Depression,Part 1",David M. Kennedy
AMST-439,9780195168938,"The American People in World War II: Freedom from Fear,Part Two",David M. Kennedy
AMST-439,9780521715355,Making a New Deal,Lizabeth Cohen
AMST-439,9780465010202,Homeward Bound: American Families in the Cold War Era,Elaine Tyler May
AMST-439,9780807006238,Notes of a Native Son,James Baldwin
AMST-439,9780691048703,Many Are the Crimes: McCarthyism in America,Ellen Schrecker
AMST-458,9780307388445,The Paranoid Style in American Politics,Richard Hofstadter
AMST-821,9780801850967,"Silent Travelers: Germs, Genes, and the Immigrant Menace",Alan M. Kraut
AMST-821,9780807847985,Hazards of the Job: From Industrial Disease to Environmental Health Science,Christopher C. Sellers
AMST-821,9780465089871,The Health of the Country: How American Settlers Understood Themselves and Their Land,Conevery Bolton Valencius
AMST-821,9780520248878,"Inescapable Ecologies: A History of Environment, Disease, and Knowledge",Linda Nash
AMST-821,9780520251670,Orange Empire: California and the Fruits of Eden,Douglas Cazaux Sackman
AMST-828,9780674076273,Black Jacks: African American Seamen in the Age of Sail,W. Jeffrey Bolster
AMST-828,9780801484377,"Disowning Slavery: Gradual Emancipation and 'Race' in New England,1780 1860",Joanne Pope Melish
AMST-828,9781400079360,From Midnight to Dawn: The Last Tracks of the Underground Railroad,Jacqueline L. Tobin
AMST-828,9780691150352,Ten Hills Farm: The Forgotten History of Slavery in the North,C.S. Manegold
AMST-828,9780143123989,The Amistad Rebellion: An Atlantic Odyssey of Slavery and Freedom,Marcus Rediker
AMST-835,9780761991069,Exhibit Labels: An Interpretive Approach,Beverly Serrell
AMST-835,9781405173810,Museum Studies: An Anthology of Contexts,Bettina Messias Carbonell (Editor)
AMST-835,9780759122703,Manual of Museum Exhibitions,"Barry Lord, Maria Piacente (Editors)"
AMST-839,9780140186406,The Grapes of Wrath,John Steinbeck
AMST-839,9780812218190,The Organization Man: The Book That Defined a Generation,William H. Whyte
AMST-839,9780195168921,"The American People in the Great Depression,Part 1",David M. Kennedy
AMST-839,9780195168938,"The American People in World War II: Freedom from Fear,Part Two",David M. Kennedy
AMST-839,9780521715355,Making a New Deal,Lizabeth Cohen
AMST-839,9780465010202,Homeward Bound: American Families in the Cold War Era,Elaine Tyler May
AMST-839,9780807006238,Notes of a Native Son,James Baldwin
AMST-839,9780691048703,Many Are the Crimes: McCarthyism in America,Ellen Schrecker
AMST-858,9780307388445,The Paranoid Style in American Politics,Richard Hofstadter
ANTH-101,9780671640996,The Forest People,Colin M. Turnbull
ANTH-101,9780143037477,My Freshman Year: What a Professor Learned by Becoming a Student,Rebekah Nathan
ANTH-228,9780807871652,"Isma'ili Modern: Globalization and Identity in a Muslim Community",Jonah Steinberg
ANTH-228,9789745241381,Himalayan Pilgrimage: A Study of Tibetan Religion by a Traveller Through Western Nepal,David Snellgrove
ANTH-245,9781577665212,Ethnomedicine,Pamela I. Erickson
ANTH-245,9780195310276,The Practice of International Health: A Case-Based Orientation,Daniel Perlman (Editor)
ANTH-245,9780691126579,When Experiments Travel: Clinical Trials and the Global Search for Human Subjects,Adriana Petryna
ANTH-245,9780813546681,Your Pocket Is What Cures You: The Politics of Health in Senegal,Ellen E. Foley
ANTH-245,9781577667735,The Obesity Epidemic in North America: Connecting Biology and Culture,Anna Bellisari
ANTH-250,9780226745640,Republic of Drivers: A Cultural History of Automobility in America,Cotten Seiler
ANTH-250,9780745656106,Sustainability,Leslie Paul Thiele
ANTH-250,9781621060031,Bikenomics: How Bicycling Can Save the Economy,Elly Blue
ANTH-250,9781782383758,"Vehicles: Cars,Canoes,and Other Metaphors of Moral Ambivalence",David Lipset
ANTH-302,9781405187756,Foundations of Anthropological Theory: From Classical Antiquity to Early Modern Europe,Robert Launay (Editor)
ANTH-302,9780078034886,Anthropological Theory: An Introductory History,"R. Jon McGee, Richard Warms"
ANTH-308,9780933452954,Senses of Place,Steven Feld
ANTH-308,9780631228783,The Anthropology of Space and Place: Locating Culture,"Setha M. Low , Denise Lawrence-Zunigais (Editors)"
ANTH-308,9780375725173,"Bayou Farewell: The Rich Life and Tragic Death of Louisiana's Cajun Coast",Mike Tidwell
ANTH-308,9781405106726,Place: A Short Introduction,Tim Cresswell
ANTH-308,9780295987491,Being and Place Among the Tlingit,Thomas F. Thornton
ARAB-101,9781589016347,Answer Key for Alif Baa: Introduction to Arabic Letters and Sounds,"Kristen Brustad, Mahmoud Al-Batal, Abbas Al-Tonsi"
ARAB-101,9781589017382,Answer Key for Al-Kitaab Fii Tacallum Al-Carabiyya: A Textbook for Beginning Arabic,"Kristen Brustad,Mahmoud Al-Batal,Abbas Al-Tonsi"
ARAB-101,9781589016323,Alif Baa: Introduction to Arabic Letters and Sounds,"Kristen Brustad, Mahmoud Al-Batal, Abbas Al-Tonsi"
ARAB-101,9781589017368,"Al-Kitaab Fii Tacallum Al-carabiyya/A Textbook For Beginning Arabic,Part 1","Kristen Brustad, Mahmoud Al-Batal, Abbas Al-Tonsi"
ARAB-301,9781589019621,"Al-Kitaab Fii Ta Callum Al-Carabiyya: A Textbook for Intermediate Arabic,Part Two","Kristen Brustad, Mahmoud Al-Batal, Abbas Al-Tonsi"
BIOL-182,9780321558237,Campbell Biology,"Jane B. Reece, Neil A. Campbell, Lisa A. Urry,Michael L. Cain, Steven A. Wasserman, Peter V. Minorsky, Robert B. Jackson"
BIOL-182,9780205075072,A Short Guide to Writing about Biology,Jan A. Pechenik
BIOL-215,9781429219617,Raven Biology of Plants,"Ray F. Evert, Susan E. Eichhorn"
BIOL-224,9781449635961,Genetics: Analysis of Genes and Genomes,"Daniel L. Hartl, Maryellen Ruvolo"
BIOL-224,9781449644703,Student Solutions Manual And Supplemental Problems To Accompany Genetics: Analysis Of Genes And Genomes,"Daniel L. Hartl, Maryellen Ruvolo"
BIOL-317,9781429229364,Biochemistry,"Jeremy M. Berg,John L. Tymoczko,Lubert Stryer"
BIOL-333,9780073532493,Ecology: Concepts and Applications,Manuel Molles
CHEM-111,9780840065322,Chemistry: An Atoms First Approach,Steven S. Zumdahl
CHEM-211,9780199270293,Organic Chemistry,"Jonathan Clayden, Nick Greeves,Stuart Warren"
CHEM-309,9780486632773,Understanding Thermodynamics,H.C. Van Ness
CHEM-309,9780618123414,Physical Chemistry,Keith J. Laidler
CHEM-311,9781429218153,Quantitative Chemical Analysis,Daniel C. Harris
CHEM-311,9781429231237,Solution Manual for Quantitative Chemical Analysis,Daniel C. Harris
CHEM-311,9781464139215,Quantitative Chemical Analysis,Daniel C. Harris
CHEM-313,9780321811059,Inorganic Chemistry,"Gary L Miessler, Paul J Fischer, Donald A Tarr"
CHEM-404,9780471761136,Bioinorganic Chemistry: A Short Course,Rosette M. Roat-Malone
CHIN-101,9780887276484,"Integrated Chinese Level 1,Part 1 Character Workbook",Tao-Chung Yao
CHIN-101,9780887276385,"Integrated Chinese Level 1,Part 1 Textbook: Simplified Characters",Tao-Chung Yao
CHIN-101,9780887276408,"Integrated Chinese Level 1,Part 1 Workbook: Simplified Characters",Tao-Chung Yao
CHIN-101,9780071627368,"McGraw-Hill's Chinese Pronunciation",ABC Live
CHIN-201,9780887276705,"Integrated Chinese: Textbook Simplified Characters,Level 1,Part 2","Yuehua Liu, Daozhong Yao"
CHIN-201,9780887276743,Integrated Chinese = [Zhong Wen Ting Shuo Du Xie],Tao-Chung Yao
CHIN-201,9780887276767,"Integrated Chinese: Level 1,Part 2 Character Workbook",Tao-Chung Yao
CHIN-237,9780231138413,The Columbia Anthology of Modern Chinese Literature,"Joseph S.M. Lau, Howard Goldblatt (Editors)"
CHIN-301,9780300104707,Tell It Like it Is!,Jianqi Wang
CLCV-224,9780872203907,Oresteia,Aeschylus
CLCV-224,9781416592259,Medea,Euripides
CLCV-224,9781444349863,Sexuality in Greek and Roman Culture,Marilyn B. Skinner
CLCV-239,9781405116848,Big Screen Rome,Monica Silveira Cyrino
COLL-215,9780385495387,The Big Con: The Story of the Confidence Man,David W. Maurer
COLL-215,9780742519183,The Cultural Study of Work,Douglas Harper
COLL-215,9780385094023,The Presentation of Self in Everyday Life,Erving Goffman
COLL-215,9780226978130,Out of the Pits: Traders and Technology from Chicago to London,Caitlin Zaloom
COLL-215,9780822345992,Liquidated: An Ethnography of Wall Street,Karen Ho
CPSC-225,9780321777027,Fundamentals of ActionScript 3.0: Develop and Design,Doug Winnie
CPSC-225,9781430239932,Foundation Game Design with ActionScript 3.0,Rex van der Spuy
CPSC-225,9780321927859,Adobe Flash Professional CC Classroom in a Book,Adobe Creative Team
CPSC-275,9780136108047,"Computer Systems: A Programmer's Perspective",Randal E. Bryant
CPSC-320,9780321295354,Algorithm Design,"Jon Kleinberg, Éva Tardos"
CTYP-101,9780415492324,Urban Geography,"Tim Hall, Heather Barrett"
CTYP-101,9780307474377,The Great Inversion and the Future of the American City,Alan Ehrenhalt
CTYP-101,9781118632802,Cities in Relations: Trajectories of Urban Development in Hanoi and Ouagadougou,Ola Söderström
CTYP-201,9780073379296,Buildings Across Time: An Introduction to World Architecture,Michael W Fazio
ECON-101,9780132949330,"Economics: Principles, Applications, and Tools","Arthur O'Sullivan, Steven M. Sheffrin, Stephen Perez"
ECON-103,9780133251036,Introduction to Financial Accounting,Charles T. Horngren
ECON-109,9780078020544,Essentials of Business Statistics: Communicating with Numbers,"Sanjiv Jaggia, Alison Kelly"
ECON-209,9780073511474,Urban Economics,"Arthur O'Sullivan"
ECON-227,9780324323597,Elements of Forecasting,Francis X. Diebold
ECON-231,9780742553538,The Puzzle of Latin American Economic Development,Patrice M. Franko
ECON-301,9780716759751,Microeconomics,"Austan Goolsbee, Steven D. Levitt,Chad Syverson"
ECON-302,9780133061635,Macroeconomics,"Olivier J. Blanchard, David W. Johnson"
ECON-306,9781429278454,Public Finance and Public Policy,Jonathan Gruber
ECON-309,9780136089438,Corporate Finance,"Jonathan Berk, Peter DeMarzo"
ECON-309,9780393340747,A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing,Burton G. Malkiel
ECON-312,9780070109100,Fundamental Methods of Mathematical Economics,"Alpha C. Chiang, Kevin Wainwright"
ECON-315,9780133423648,International Economics: Theory and Policy,"Paul Krugman, Maurice Obstfeld, Marc Melitz"
ECON-317,9780393934359,Economics of Development,"Dwight H. Perkins, Steven Radelet, David L. Lindauer, Steven A. Block"
ECON-318,9780131367739,Using Econometrics: A Practical Guide,A.H. Studenmund
ECON-321,9780137037414,American Economic History,"Jonathan Hughes, Louis P. Cain"
ECON-324,9780691142166,This Time Is Different: Eight Centuries of Financial Folly Hardcover,"Carmen M. Reinhart, Kenneth Rogoff"
ECON-324,9780307459695,"In FED We Trust: Ben Bernanke's War on the Great Panic",David Wessel
ECON-324,9780470976111,"Bust: Greece,the Euro and the Sovereign Debt Crisis",Matthew Lynn
ECON-326,9780691003955,Game Theory for Applied Economists,Robert Gibbons
ENGL-105,9780440180296,Slaughterhouse-Five,Kurt Vonnegut
ENGL-105,9780393966404,Adventures of Huckleberry Finn,Mark Twain
ENGL-105,9781285080000,"The Concise Heath Anthology of American Literature,Volume 2: 1865 to the Present",Paul Lauter
ENGL-110,9780140423464,The Penguin Book of Renaissance Verse: 1509-1659,"David Norbrook, H.R. Woudhuysen"
ENGL-110,9780393320978,Beowulf: A New Verse Translation,Seamus Heaney
ENGL-110,9780393976588,Sir Gawain and the Green Knight / Patience / Pearl,Marie Borroff
ENGL-110,9780872207332,Paradise Lost,John Milton
ENGL-110,9780199537310,The Alchemist and Other Plays,Ben Jonson
ENGL-110,9780312542542,A Pocket Style Manual Spiral-bound,"Diana Hacker, Nancy Sommers"
ENGL-110,9780393341782,The Selected Canterbury Tales,Geoffrey Chaucer
ENGL-220,9780393970128,Dracula,Bram Stoker
ENGL-220,9780393975420,Jane Eyre,Charlotte Brontë
ENGL-220,9781551113579,"Lady Audley's Secret",Mary Elizabeth Braddon
ENGL-220,9780199535989,The Picture of Dorian Gray,Oscar Wilde
ENGL-220,9780205655267,"The Longman Anthology of British Literature, Volume 2B: The Victorian Age","David Damrosch, Kevin J. H. Dettmar, Heather Henderson, William Chapman Sharpe (Editors)"
ENGL-220,9781551119311,Bleak House,Charles Dickens
ENGL-250,9780395850862,Rules for the Dance: A Handbook for Writing and Reading Metrical Verse,Mary Oliver
ENGL-250,9780393321784,The Making of a Poem: A Norton Anthology of Poetic Forms,"Eavan Boland, Mark Strand"
ENGL-250,9781611680355,"The Book of Forms: A Handbook of Poetics,Including Odd and Invented Forms",Lewis Putnam Turco
ENGL-260,9780312461881,The Bedford Glossary of Critical and Literary Terms,"Ross C. Murfin, Supryia M. Ray"
ENGL-260,9780199535880,The Tragedy of King Richard III,William Shakespeare
ENGL-260,9780393927931,Frankenstein,Mary Shelley
ENGL-260,9780312463199,"Poems, Poets, Poetry: An Introduction and Anthology",Helen Vendler
ENGL-260,9780312542542,A Pocket Style Manual,"Diana Hacker, Nancy Sommers"
ENGL-260,9781457604751,40 Short Stories: A Portable Anthology,Beverly Lawn
ENGL-260,9780140434040,"Dr. Wortle's School",Anthony Trollope
ENGL-260,9780140714913,Titus Andronicus,William Shakespeare
ENGL-260,9780140439885,Oroonoko,Aphra Behn
ENGL-260,9780495898023,A Glossary of Literary Terms,"M.H. Abrams, Geoffrey Galt Harpham"
ENGL-260,9780451526762,Twelfth Night,William Shakespeare
ENGL-260,9780374525811,Birthday Letters,Ted Hughes
ENGL-260,9780060732608,Ariel,Sylvia Plath
ENGL-260,9780451531384,A Room With a View,E. M. Forster
ENGL-260,9780312542542,A Pocket Style Manual,"Diana Hacker, Nancy Sommers"
ENGL-260,9780226065663,The Craft of Research,"Wayne C. Booth, Gregory G. Colomb, Joseph M. Williams"
ENGL-265,9780073535104,Film Art: An Introduction,"David Bordwell, Kristin Thompson"
ENGL-270,9780393316544,"The Poet's Companion: A Guide to the Pleasures of Writing Poetry","Kim Addonizio, Dorianne Laux"
ENGL-270,9780618082346,Writing in General and the Short Story in Particular,L. Rust Hills
ENGL-270,9780061661587,The Ecco Anthology of Contemporary American Short Fiction,"Joyce Carol Oates, Christopher R. Beha (Editors)"
ENGL-270,9780312676025,The Practice of Creative Writing: A Guide for Student,Heather Sellers
ENGL-270,9780156007627,The Discovery of Poetry: A Field Guide to Reading and Writing Poems,Frances Mayes
ENGL-270,9781590171912,The Stray Dog Cabaret: A Book of Russian Poems,Paul Schmidt
ENGL-270,9780452295292,City of Thieves,David Benioff
ENGL-270,9780321923165,Writing Fiction: A Guide to Narrative Craft,"Janet Burroway, Elizabeth Stuckey-French, Ned Stuckey-French"
